,psig,F,
Target head pressure,145,83,
Date & Time,Discharge pressure (psig),Discharge temp (F),Twb (F)
Sun 1/1/2012 12:00 AM,145,82,31
Sun 1/1/2012 12:15 AM,144,82,31
Sun 1/1/2012 12:30 AM,141,81,30
Sun 1/1/2012 12:45 AM,140,81,30
Sun 1/1/2012 1:00 AM,142,81,30
Sun 1/1/2012 1:15 AM,142,82,29
Sun 1/1/2012 1:30 AM,140,81,29
Sun 1/1/2012 1:45 AM,144,82,29
Sun 1/1/2012 2:00 AM,137,79,29
Sun 1/1/2012 2:15 AM,147,83,29
Sun 1/1/2012 2:30 AM,146,83,29
Sun 1/1/2012 2:45 AM,143,82,29
Sun 1/1/2012 3:00 AM,143,82,30
Sun 1/1/2012 3:15 AM,145,83,30
Sun 1/1/2012 3:30 AM,144,82,30
Sun 1/1/2012 3:45 AM,138,80,30
Sun 1/1/2012 4:00 AM,138,80,30
Sun 1/1/2012 4:15 AM,142,82,29
Sun 1/1/2012 4:30 AM,144,82,30
Sun 1/1/2012 4:45 AM,146,83,30
Sun 1/1/2012 5:00 AM,142,82,31
Sun 1/1/2012 5:15 AM,140,80,31
Sun 1/1/2012 5:30 AM,147,83,31
Sun 1/1/2012 5:45 AM,143,82,31
Sun 1/1/2012 6:00 AM,140,81,31
Sun 1/1/2012 6:15 AM,147,83,30
Sun 1/1/2012 6:30 AM,141,81,30
Sun 1/1/2012 6:45 AM,140,81,30
Sun 1/1/2012 7:00 AM,143,82,30
Sun 1/1/2012 7:15 AM,140,81,29
Sun 1/1/2012 7:30 AM,147,83,29
Sun 1/1/2012 7:45 AM,144,82,30
Sun 1/1/2012 8:00 AM,139,80,31
Sun 1/1/2012 8:15 AM,142,82,31
Sun 1/1/2012 8:30 AM,147,83,31
Sun 1/1/2012 8:45 AM,140,80,31
Sun 1/1/2012 9:00 AM,147,83,31
Sun 1/1/2012 9:15 AM,147,83,31
Sun 1/1/2012 9:30 AM,138,80,32
Sun 1/1/2012 9:45 AM,136,79,32
Sun 1/1/2012 10:00 AM,144,82,32
Sun 1/1/2012 10:15 AM,139,80,33
Sun 1/1/2012 10:30 AM,139,80,34
Sun 1/1/2012 10:45 AM,144,82,35
Sun 1/1/2012 11:00 AM,146,83,35
Sun 1/1/2012 11:15 AM,138,80,35
Sun 1/1/2012 11:30 AM,142,82,35
Sun 1/1/2012 11:45 AM,138,80,36
Sun 1/1/2012 12:00 PM,143,82,36
Sun 1/1/2012 12:15 PM,144,82,37
Sun 1/1/2012 12:30 PM,134,78,37
Sun 1/1/2012 12:45 PM,142,82,37
Sun 1/1/2012 1:00 PM,143,82,38
Sun 1/1/2012 1:15 PM,142,81,38
Sun 1/1/2012 1:30 PM,143,82,38
Sun 1/1/2012 1:45 PM,136,79,39
Sun 1/1/2012 2:00 PM,135,78,39
Sun 1/1/2012 2:15 PM,143,82,40
Sun 1/1/2012 2:30 PM,143,82,40
Sun 1/1/2012 2:45 PM,145,82,40
Sun 1/1/2012 3:00 PM,146,83,40
Sun 1/1/2012 3:15 PM,142,82,40
Sun 1/1/2012 3:30 PM,146,83,40
Sun 1/1/2012 3:45 PM,145,82,39
Sun 1/1/2012 4:00 PM,138,80,39
Sun 1/1/2012 4:15 PM,146,83,39
Sun 1/1/2012 4:30 PM,146,83,39
Sun 1/1/2012 4:45 PM,141,81,38
Sun 1/1/2012 5:00 PM,142,81,38
Sun 1/1/2012 5:15 PM,148,83,38
Sun 1/1/2012 5:30 PM,144,82,38
Sun 1/1/2012 5:45 PM,139,80,38
Sun 1/1/2012 6:00 PM,143,82,38
Sun 1/1/2012 6:15 PM,142,81,39
Sun 1/1/2012 6:30 PM,144,82,40
Sun 1/1/2012 6:45 PM,145,82,40
Sun 1/1/2012 7:00 PM,140,81,40
Sun 1/1/2012 7:15 PM,144,82,40
Sun 1/1/2012 7:30 PM,140,80,40
Sun 1/1/2012 7:45 PM,146,83,40
Sun 1/1/2012 8:00 PM,144,82,40
Sun 1/1/2012 8:15 PM,144,82,40
Sun 1/1/2012 8:30 PM,139,80,40
Sun 1/1/2012 8:45 PM,138,80,41
Sun 1/1/2012 9:00 PM,147,83,41
Sun 1/1/2012 9:15 PM,141,81,41
Sun 1/1/2012 9:30 PM,141,81,42
Sun 1/1/2012 9:45 PM,141,81,42
Sun 1/1/2012 10:00 PM,146,83,42
Sun 1/1/2012 10:15 PM,146,83,42
Sun 1/1/2012 10:30 PM,146,83,42
Sun 1/1/2012 10:45 PM,142,82,42
Sun 1/1/2012 11:00 PM,142,82,42
Sun 1/1/2012 11:15 PM,141,81,42
Sun 1/1/2012 11:30 PM,142,82,42
Sun 1/1/2012 11:45 PM,137,79,42
Mon 1/2/2012 12:00 AM,140,80,42
Mon 1/2/2012 12:15 AM,149,84,40
Mon 1/2/2012 12:30 AM,142,82,40
Mon 1/2/2012 12:45 AM,143,82,39
Mon 1/2/2012 1:00 AM,135,78,39
Mon 1/2/2012 1:15 AM,143,82,39
Mon 1/2/2012 1:30 AM,145,82,39
Mon 1/2/2012 1:45 AM,143,82,39
Mon 1/2/2012 2:00 AM,138,80,38
Mon 1/2/2012 2:15 AM,135,78,38
Mon 1/2/2012 2:30 AM,146,83,37
Mon 1/2/2012 2:45 AM,141,81,37
Mon 1/2/2012 3:00 AM,143,82,36
Mon 1/2/2012 3:15 AM,142,82,36
Mon 1/2/2012 3:30 AM,130,77,36
Mon 1/2/2012 3:45 AM,143,82,35
Mon 1/2/2012 4:00 AM,138,80,35
Mon 1/2/2012 4:15 AM,140,81,35
Mon 1/2/2012 4:30 AM,143,82,35
Mon 1/2/2012 4:45 AM,142,82,34
Mon 1/2/2012 5:00 AM,143,82,34
Mon 1/2/2012 5:15 AM,143,82,33
Mon 1/2/2012 5:30 AM,140,81,33
Mon 1/2/2012 5:45 AM,144,82,33
Mon 1/2/2012 6:00 AM,144,82,32
Mon 1/2/2012 6:15 AM,149,84,32
Mon 1/2/2012 6:30 AM,140,80,32
Mon 1/2/2012 6:45 AM,143,82,31
Mon 1/2/2012 7:00 AM,145,82,31
Mon 1/2/2012 7:15 AM,148,83,31
Mon 1/2/2012 7:30 AM,143,82,31
Mon 1/2/2012 7:45 AM,141,81,31
Mon 1/2/2012 8:00 AM,146,83,31
Mon 1/2/2012 8:15 AM,143,82,31
Mon 1/2/2012 8:30 AM,141,81,32
Mon 1/2/2012 8:45 AM,138,80,32
Mon 1/2/2012 9:00 AM,147,83,32
Mon 1/2/2012 9:15 AM,141,81,32
Mon 1/2/2012 9:30 AM,141,81,32
Mon 1/2/2012 9:45 AM,145,83,32
Mon 1/2/2012 10:00 AM,139,80,32
Mon 1/2/2012 10:15 AM,142,82,32
Mon 1/2/2012 10:30 AM,140,81,33
Mon 1/2/2012 10:45 AM,139,80,33
Mon 1/2/2012 11:00 AM,142,81,33
Mon 1/2/2012 11:15 AM,145,82,33
Mon 1/2/2012 11:30 AM,140,81,32
Mon 1/2/2012 11:45 AM,138,80,32
Mon 1/2/2012 12:00 PM,146,83,32
Mon 1/2/2012 12:15 PM,147,83,32
Mon 1/2/2012 12:30 PM,135,78,32
Mon 1/2/2012 12:45 PM,142,81,33
Mon 1/2/2012 1:00 PM,141,81,33
Mon 1/2/2012 1:15 PM,137,80,33
Mon 1/2/2012 1:30 PM,136,79,32
Mon 1/2/2012 1:45 PM,141,81,32
Mon 1/2/2012 2:00 PM,147,83,33
Mon 1/2/2012 2:15 PM,149,84,33
Mon 1/2/2012 2:30 PM,148,84,33
Mon 1/2/2012 2:45 PM,143,82,32
Mon 1/2/2012 3:00 PM,144,82,32
Mon 1/2/2012 3:15 PM,139,80,31
Mon 1/2/2012 3:30 PM,144,82,31
Mon 1/2/2012 3:45 PM,137,80,30
Mon 1/2/2012 4:00 PM,139,80,30
Mon 1/2/2012 4:15 PM,133,78,30
Mon 1/2/2012 4:30 PM,140,81,30
Mon 1/2/2012 4:45 PM,144,82,30
Mon 1/2/2012 5:00 PM,142,81,30
