Note: Target head pressure setpoints changed as follows,,,,
Through 2/4/13 - 145 psi,,,,
2/4/13 Ð 145psi -> 140psi,,,,
2/20/13 Ð 140psi -> 135psi,,,,
3/7/13 Ð 135psi -> 130psi,,,,
Date & Time,Discharge pressure (psig),Load (tons),Refr compressor power (kW),Utility power (kW)
Tue 1/1/2013 12:00 AM,139,58,44,208
Tue 1/1/2013 12:15 AM,133,69,47,198
Tue 1/1/2013 12:30 AM,135,44,38,199
Tue 1/1/2013 12:45 AM,130,64,44,201
Tue 1/1/2013 1:00 AM,124,74,47,199
Tue 1/1/2013 1:15 AM,122,84,51,196
Tue 1/1/2013 1:30 AM,132,77,50,208
Tue 1/1/2013 1:45 AM,130,69,45,206
Tue 1/1/2013 2:00 AM,120,75,47,202
Tue 1/1/2013 2:15 AM,115,53,39,192
Tue 1/1/2013 2:30 AM,113,76,45,194
Tue 1/1/2013 2:45 AM,106,54,37,188
Tue 1/1/2013 3:00 AM,105,55,38,191
Tue 1/1/2013 3:15 AM,101,52,37,187
Tue 1/1/2013 3:30 AM,102,39,33,186
Tue 1/1/2013 3:45 AM,103,22,31,188
Tue 1/1/2013 4:00 AM,101,28,32,189
Tue 1/1/2013 4:15 AM,95,20,29,189
Tue 1/1/2013 4:30 AM,87,0,29,187
Tue 1/1/2013 4:45 AM,81,0,28,183
Tue 1/1/2013 5:00 AM,83,0,35,193
Tue 1/1/2013 5:15 AM,85,0,36,191
Tue 1/1/2013 5:30 AM,85,0,36,192
Tue 1/1/2013 5:45 AM,74,0,28,180
Tue 1/1/2013 6:00 AM,81,0,38,182
Tue 1/1/2013 6:15 AM,77,0,28,179
Tue 1/1/2013 6:30 AM,75,0,32,180
Tue 1/1/2013 6:45 AM,76,0,30,180
Tue 1/1/2013 7:00 AM,77,0,29,184
Tue 1/1/2013 7:15 AM,73,0,27,174
Tue 1/1/2013 7:30 AM,70,0,29,177
Tue 1/1/2013 7:45 AM,69,0,26,170
Tue 1/1/2013 8:00 AM,71,0,30,182
Tue 1/1/2013 8:15 AM,69,0,29,182
Tue 1/1/2013 8:30 AM,66,0,26,175
Tue 1/1/2013 8:45 AM,69,0,26,174
Tue 1/1/2013 9:00 AM,67,0,25,172
Tue 1/1/2013 9:15 AM,64,0,23,169
Tue 1/1/2013 9:30 AM,61,0,23,168
Tue 1/1/2013 9:45 AM,62,0,29,170
Tue 1/1/2013 10:00 AM,67,0,26,170
Tue 1/1/2013 10:15 AM,69,0,34,173
Tue 1/1/2013 10:30 AM,74,0,25,177
Tue 1/1/2013 10:45 AM,75,0,30,173
Tue 1/1/2013 11:00 AM,74,0,27,173
Tue 1/1/2013 11:15 AM,72,0,27,172
Tue 1/1/2013 11:30 AM,74,0,29,172
Tue 1/1/2013 11:45 AM,74,0,27,177
Tue 1/1/2013 12:00 PM,75,0,28,184
